old_entity,old_id,new_entity,new_id,status,note
Task,CROSS_REGION_534,Task,X0-transfer,RETAIN_WITH_RENAME,"3'UTR/CDS transfer"
Task,open_generation_diagnostic,Task,OPEN_WORLD_PROXY_DIAGNOSTIC,RETAIN_AS_SECONDARY,"supplement/diagnostic only"
Split,within-study source-disjoint,Split,S1,RETAIN_EXACT,reuse
Split,gene-disjoint,Split,S2,RETAIN_EXACT,reuse
Split,sequence-cluster,Split,S3,RETAIN_EXACT,reuse
Split,leave-one-study-out,Split,S4,RETAIN_EXACT,reuse
Split,context-disjoint,Split,S5,RETAIN_EXACT,reuse
Split,sealed final,Split,S6,RETAIN_EXACT,operational seal
Split,protein-family,Split,S7,RETAIN_EXACT,CDS
Split,dense block/S8,Split,S8,RETAIN_EXACT,dense library holdout
Model,OutcomeScorer,Model,SparseEditFormer,SUPERSEDED_BY_NEW_METHOD,"edit/action encoder+delta head+variance+sign/beneficial/ranking+calibration"
Model,BASIC_PAIR_EF_NATIVE,Model,base Edit Flow,REUSE_AS_IS,"baseline"
Model,UTR_ADAPTED_NATIVE,Model,region adapter,RETAIN_AS_SECONDARY,"mechanism adapter"
Model,multi-alignment,Model,estimator sensitivity,RETAIN_AS_SECONDARY,"not exact guidance"
Model,exact_sampler,Model,exact only if numeric,RENAME_OR_REBUILD,"numeric semantics must hold"
Method,alignment proposal,Method,secondary,SUPERSEDED_BY_NEW_METHOD,"effect critic+exact guidance primary"
Governance,D0-R,Governance,RETAIN_EXACT,retained,"acquisition/provenance"
Governance,D1-R,Governance,RETAIN_EXACT,retained,"canonical"
Governance,FM0-A,Governance,RETAIN_EXACT,retained,"foundation exposure"
Governance,B0-R,Governance,RETAIN_EXACT,retained,"split/leakage"
Governance,G0-G7,Governance,RETAIN_EXACT,retained,"closure/manifest"
Governance,PR1-PR3,Governance,RETAIN_EXACT,retained,"preregistration rounds"
Governance,GSE246381_policy,Governance,RETAIN_EXACT,retained,"restricted dual-store/one final"
Governance,exposure_ledger,Governance,RETAIN_EXACT,retained,"exposure/foundation overlap"
Governance,license_matrix,Governance,RETAIN_EXACT,retained,"fail-closed license"
Governance,supersession_v3_1,Governance,RETAIN_EXACT,retained,"append new supersession entry"
