claim_row_id,claim_id,claim_marker_present,claim_class,claim_status,allowed_in_selected_outcome_manuscript,selected_final_paper_outcome,claim_text,evidence_ids,evidence_role,claim_boundary_or_refutation,minimum_package_complete,outcome_trigger_fully_satisfied,submission_ready,development_test_read,new_final_evaluation_read,guided_xeditflow_run
CE-S-11,C-R2-011,true,CRITIC_V1_NO_GO,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The first mRNABERT cohort produced three task-macro Spearman values of 0.116129, 0.116908 and 0.137384. Their margins over the frozen strongest same-information baseline were -0.015586, -0.014806 and +0.005669; only one of three was positive. The frozen gate therefore stopped before Development TEST and did not authorize refit, LOSO or guided XEditFlow.",E-R2-CONTRACT;E-R2-CRITIC-V1,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,"Terminal three-seed readiness failure; no TEST, refit, LOSO or guided authorization.",false,false,false,false,false,false
CE-S-12,C-R2-012,true,CRITIC_V2_NO_GO,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Critic V2 completed all four matched-budget arms. The full model obtained task-macro Spearman 0.1163707 and standardized MAE 2.2228259. It outperformed candidate permutation (Spearman 0.0801855), source-only (0.0179762) and source-plus-edit-metadata (0.0865578), and passed the frozen candidate-specific and task-breadth controls. However, it did not exceed the strongest same-information baseline Spearman of 0.1317144; the frozen margin was -0.0153437. The resulting status was `CRITIC_V2_CONTROLS_DO_NOT_SUPPORT_THREE_FROZEN_SEEDS`. No confirmation seed, Development TEST, refit, LOSO, readiness or guided generation stage was opened.",E-R2-CRITIC-V2-PROTOCOL;E-R2-CRITIC-V2-ADJ,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Terminal frozen control-gate failure; no downstream confirmation or guided stage.,false,false,false,false,false,false
CE-S-13,C-R2-013,true,COMPUTE_REPORTING_GAP,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"1. The independent evaluator cleared its threshold by only 0.0013180, and its task-level correlations were heterogeneous, including four nonpositive task groups. Its raw global prediction-to-target spread ratio was 0.002202665, but no per-task spread diagnostics were retained, so this global heterogeneous- endpoint statistic cannot localize compression by task. It shares the broader Development evidence domain; it is isolated from the guiding checkpoint but is not an external biological confirmation. 2. Open generated support contains candidates with unknown outcomes. Candidate recovery is observable, whereas closed measured NDCG is undefined under this support mode for all seven methods; unknown candidates were not assigned zero gain. The action-space table therefore describes computational prioritization, legality, stopping, edit depth, duplication and cost rather than measured biological improvement. 3. The genetic-versus-Flow ranking changes with the reported endpoint. The paper must keep independent-evaluator uplift and measured-neighborhood recovery in separate columns. 4. Per-method generation wall time was not persisted for the six search methods: all 891 source-level `wall_time_seconds` values per method are null. The overall suite wall time was 10,959.64 seconds, and independent scoring times were recorded, but file timestamps will not be used to reconstruct missing generation times. Unguided Flow separately recorded 341.56 seconds and 556.49 MiB peak VRAM. Per-candidate algorithmic STOP time is likewise absent from the terminal selection input; terminal counts and edit depths do not reconstruct that time. Future parallel stages now persist per-method wall time, but this instrumentation does not retroactively fill the terminal suite. 5. The Critic V2 control NO-GO prospectively closed Development TEST, TEST-preserving predictor/baseline LOSO and guided XEditFlow for this cohort. A new outcome-unexposed convertible external Evaluation study also remains unavailable. No final biological or cross-study generation claim is unlocked. 6. The Critic V2 task-size and selected-epoch analyses are post hoc failure diagnostics. They describe where the frozen margin arose but do not replace the nine-task gate, prove a causal mechanism or authorize another seed. 7. GSE232572 is outcome-exposed historical transfer evidence. One rank interval crossed zero and all three MAE comparisons favored the baseline; neither the study nor its provisional historical paper label can supply an unbiased final confirmation. 8. The minimum package is not complete. Guided comparison and new-study Evaluation remain legally unavailable, terminal timing fields cannot be retroactively reconstructed, the provisional figures still lack a selected venue's export-rule verification, and accountable human evidence verification remains pending. 9. Public source access and converter output policy do not establish public redistribution authority. No study payload is currently authorized for public release from this project; aggregate reporting and source locators are the current boundary pending study-specific accountable human license review.",E-R2-GEN-SUITE;E-R2-GEN-INPUT;E-R2-FLOW-MATCHED,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Missing terminal wall/STOP timing remains missing and is not reconstructed or rerun.,false,false,false,false,false,false
CE-S-14,C-R2-014,true,READINESS_SEQUENCE,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Critic V2 may advance only through the frozen sequence of a passing four-arm control screen, three passing confirmation seeds (20260822, 20260823 and 20260824), one Development TEST run at seed 20260823, an all-126,165-record refit, and three seed-level matched primary-versus-baseline LOSO aggregations. The single TEST uses 100 epochs and the final epoch because TRAIN and VALIDATION are folded together at that stage; TEST metrics are report-only and cannot select the architecture, loss, seed, epoch, threshold or policy. Each LOSO seed must contain seven aligned nonempty Development studies and have positive model-minus- baseline macro Spearman. Guided Development generation can be authorized only after both `CRITIC_READY_FOR_GUIDANCE` and `FLOW_G0_READY`; neither readiness state is a biological-success claim.",E-R2-CONTRACT;E-R2-CRITIC-V2-READINESS;E-R2-CRITIC-V2-LOSO-AGG,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Prospective ordering and gate definitions only; readiness is not biological success.,false,false,false,false,false,false
CE-S-15,C-R2-015,true,GENERATION_BOOTSTRAP,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"All six paired comparisons supported the point ordering under the frozen bootstrap: every 95% leader-advantage interval had a lower bound greater than zero. Generate-then-rerank was the nearest competitor; genetic's source-macro advantage was 0.04022872 with a 95% interval of [0.01893446, 0.06168808]. This interval quantifies Development independent-evaluator separation only and does not provide external or measured biological validation. The exact six-row table is retained in `route2_v332_generation_bootstrap_table_v1.csv`.",E-R2-GEN-SELECT,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Development independent-evaluator separation only; no external or measured biological validation.,false,false,false,false,false,false
CE-S-16,C-R2-016,true,EVALUATOR_TASK_HETEROGENEITY,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Performance was heterogeneous across the nine task-region groups. Task-level Spearman ranged from -0.1091646 for RNA half-life in region 0 to 0.7619576 for proximal poly(A)-site usage in region 1; five task correlations were positive. RNA half-life in region 0 also had a standardized MAE of 9.220029, compared with the task-macro standardized MAE of 1.807855. Thus the narrowly passing macro gate does not imply uniformly reliable task-level evaluation. Full-precision values and record counts summing to 18,293 are retained in `route2_v332_independent_evaluator_task_table_v1.csv`.",E-R2-EVAL-TRAIN;E-R2-EVAL-ADJ,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Nine Development tasks are heterogeneous; macro qualification does not imply uniform task reliability.,false,false,false,false,false,false
CE-S-17,C-R2-017,true,EVALUATOR_COMPRESSION_DIAGNOSTIC,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The raw global prediction standard deviation was 1.683485 versus a target standard deviation of 764.294530, a ratio of 0.002202665. Prediction spread was not a prespecified qualification threshold: the frozen gate used task-macro Spearman, positive-task breadth, model independence, CUDA completion and protected-outcome closure. The very small global ratio is nevertheless retained as a compression diagnostic. Because the nine endpoints use heterogeneous raw scales and per-task prediction/target standard deviations were not persisted, the global ratio alone cannot establish that every task underwent mean collapse.",E-R2-EVAL-TRAIN;E-R2-EVAL-PROTOCOL,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Global heterogeneous-scale spread ratio is diagnostic only and cannot establish per-task mean collapse.,false,false,false,false,false,false
CE-S-18,C-R2-018,true,EVALUATOR_ADJUDICATION,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"All 12 checks recorded by the frozen evaluator adjudication passed, covering run completion, frozen Development Validation use, TEST withholding, Evaluation closure, CUDA parameter updates, architecture and feature independence from the guiding critic, TRAIN-only task-robust scaling, complete task definition, the exact source-permutation margin, positive-task breadth and frozen evaluator identity. This authorized the already completed Development candidate rerun, but the adjudication retained `scientific_claim_status=NOT_ESTABLISHED`. The exact check IDs are retained in `route2_v332_independent_evaluator_qualification_checks_v1.csv`.",E-R2-EVAL-ADJ;E-R2-EVAL-PROTOCOL,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Frozen evaluator checks authorized the completed Development rerun only; scientific success remains unestablished.,false,false,false,false,false,false
CE-S-19,C-R2-019,true,CRITIC_TASK_ERROR_GEOMETRY,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The control result does not support the stronger interpretation that candidate sequence information was uniformly absent. On the two tasks prospectively eligible for candidate-permutation assessment, the full-minus-permutation Spearman margins were 0.1075058 for mean ribosome load and 0.1378853 for proximal poly(A)-site usage. The full model had seven positive task correlations and a prediction-to-target standard-deviation ratio of 0.0964344. Nevertheless, it beat the strongest baseline on only four of nine task correlations and lost on five; its standardized MAE was worse on all nine tasks, with a task-macro margin of +0.4161680 where lower is better.",E-R2-CRITIC-V2-ADJ;E-R2-CRITIC-V2-DIAG,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Localized Development candidate signal without task-wide rank or calibration superiority; mechanism is not causal.,false,false,false,false,false,false
CE-S-20,C-R2-020,true,LEGAL_ACTION_SPACE_GEOMETRY,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Candidate, edit-distance and terminal-cause counts conserved exactly for all seven methods. Observed source-relative edit distances ranged from zero to five; zero-edit candidates are reachable through an immediate legal STOP and do not represent an INS/DEL operation. Greedy and beam had the highest explicit-STOP fraction (0.704826 each), whereas unguided Base Flow had the highest budget-exhaustion fraction (0.870265). No `NO_LEGAL_ACTION` or `NUMERICAL_FAILURE` terminal was recorded. Local search returned 3--32 candidates per source (mean 23.5993) rather than filling the cap for every source. Base Flow produced 25,173 unique sequences among 28,512 candidate rows, leaving 3,339 within-source duplicates; the six search methods had no duplicate candidate rows within source. These are computational action-space properties, not biological performance endpoints.",E-R2-CONTRACT;E-R2-GEN-INPUT;E-R2-FLOW-MATCHED,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Computational SUB+STOP geometry only; not biological performance and not INS/DEL validation.,false,false,false,false,false,false
CE-S-21,C-R2-021,true,HISTORICAL_TRANSFER_NEGATIVE,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"The model-minus-baseline task-macro Spearman point differences across the three historical seeds were +0.0203024, +0.0485308 and +0.0370935. Their paired 95% interval lower bounds were -0.0117287, +0.0171741 and +0.0037096, respectively, so one seed did not exclude zero. More importantly, baseline-MAE minus model-MAE was negative for all three seeds (-0.1898323, -0.1646569 and -0.1406507), with all three intervals also negative. The prospectively recorded historical result was therefore `preregistered_pass=false`: positive rank point estimates did not establish stable transfer because rank uncertainty remained for one seed and calibration error favored the baseline for every seed. This outcome is retained as negative historical transfer evidence and not as final Evaluation.",E-R2-GSE232-HIST;E-R2-CONTRACT,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,Outcome-exposed negative historical transfer evidence; not unbiased final confirmation.,false,false,false,false,false,false
CE-S-22,C-R2-022,true,MINIMUM_PACKAGE_AND_ROUTE,SUPPORTED_WITH_DECLARED_BOUNDARY,true,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,"Of the contract's 18 minimum-package items, 14 are complete or complete with an explicit limitation, three are partial and one is unavailable. The four items that prevent a complete package are the matched guided/first-order comparison closed by Critic V2 NO-GO, the absence of a new outcome-unexposed replacement Evaluation study, the consequently unrun final zero-shot-to-adaptation sequence, and missing terminal generation/STOP timing fields. Reproducible provisional figure builders now satisfy MBP-17, with target-journal export rules retained as an explicit limitation. The exact item-level statuses are retained in `route2_v332_minimum_benchmark_package_table_v1.csv`. All 18 requirements have therefore been adjudicated, with no unadjudicated row and no unfinished row written as PASS; itemwise closure is complete even though the package itself is not. Accordingly, the current deliverable is an internal Development benchmark plus historical-transfer and generation-limits evidence packet. `BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER` is the frozen forward manuscript route, not an achieved submission-ready outcome: its minimum-package trigger remains false.",E-R2-CONTRACT;E-R2-PACKAGE-AUDIT;E-R2-PAPER-OUTCOME-ADJUDICATION,DIRECT_SUPPORT_WITH_SCOPE_LIMIT,All requirements are adjudicated but the package remains incomplete; Benchmark+limits route selection is not submission readiness.,false,false,false,false,false,false
CE-U-01,U-R2-001,false,OUTCOME_A_HEADLINE,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,A unified source-relative Delta critic improves effect prediction on a new frozen outcome-unexposed external Evaluation and guided XEditFlow improves measured or independent generation performance.,E-R2-PAPER-OUTCOME-ADJUDICATION;E-R2-CRITIC-V2-ADJ;E-R2-PACKAGE-AUDIT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,"Outcome A conditions fail: no eligible external Evaluation, critic readiness, guided run, true-A2 ranking or guided improvement.",false,false,false,false,false,false
CE-U-02,U-R2-002,false,OUTCOME_B_HEADLINE,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,Source-relative Delta prediction has stable value on a predeclared outcome-unexposed external prediction task.,E-R2-PAPER-OUTCOME-ADJUDICATION;E-R2-GSE232-HIST,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Outcome B conditions fail: no eligible external prediction task established stable Delta value.,false,false,false,false,false,false
CE-U-03,U-R2-003,false,BIOLOGICAL_IMPROVEMENT,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,Genetic search or Base Flow improves mRNA biology.,E-R2-GEN-THREE-LAYER-AUDIT;E-R2-GEN-SELECT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Only Development evaluator uplift and sparse measured-neighborhood recovery are available; closed measured outcome support is absent.,false,false,false,false,false,false
CE-U-04,U-R2-004,false,CRITIC_READINESS,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,The critic is ready for guidance.,E-R2-CRITIC-V2-ADJ;E-R2-CRITIC-V2-READINESS,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Critic V2 failed the frozen strongest-baseline control and does not authorize confirmation seeds or readiness.,false,false,false,false,false,false
CE-U-05,U-R2-005,false,GUIDED_SUCCESS,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,Guided XEditFlow succeeds.,E-R2-CRITIC-V2-ADJ;E-R2-MATCHED-BUDGET-AUDIT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,First-order and frozen-critic guidance were not run because Critic V2 is terminal NO-GO.,false,false,false,false,false,false
CE-U-06,U-R2-006,false,EXTERNAL_GENERATION_VALIDATION,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,The generation results are externally validated.,E-R2-GEN-THREE-LAYER-AUDIT;E-R2-DATA-TABLE,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Generation comparison is Development-only and no outcome-unexposed final Evaluation exists.,false,false,false,false,false,false
CE-U-07,U-R2-007,false,REALIZED_CANDIDATE_COUNT,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,Every method produced exactly 32 candidates per source.,E-R2-GEN-INPUT;E-R2-GEN-QUALITY-COST-FIGURE-MANIFEST,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,"Local search produced 3--32 candidates per source and 21,027 total candidate rows.",false,false,false,false,false,false
CE-U-08,U-R2-008,false,ACTION_SCOPE,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,The first-stage benchmark supports or validates INS/DEL.,E-R2-CONTRACT;E-R2-GEN-INPUT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,The frozen first-stage action space is SUB+STOP; INS/DEL are explicitly out of scope.,false,false,false,false,false,false
CE-U-09,U-R2-009,false,MISSING_AS_ZERO,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,A generated candidate outside measured support has zero measured gain.,E-R2-GEN-THREE-LAYER-AUDIT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Unknown generated outcomes remain unknown and are not assigned zero gain.,false,false,false,false,false,false
CE-U-10,U-R2-010,false,HISTORICAL_FINAL_CONFIRMATION,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,GSE232572 is an unbiased independent final confirmation.,E-R2-GSE232-HIST;E-R2-CONTRACT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,GSE232572 is historically outcome-exposed and failed its preregistered cross-seed rank-and-MAE rule.,false,false,false,false,false,false
CE-U-11,U-R2-011,false,PACKAGE_OR_SUBMISSION_COMPLETENESS,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,The minimum benchmark package or submission-ready paper is complete.,E-R2-PACKAGE-AUDIT;E-R2-PAPER-OUTCOME-ADJUDICATION,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Four minimum-package blockers remain and submission eligibility is false.,false,false,false,false,false,false
CE-U-12,U-R2-012,false,UNREAD_OUTCOME,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,E-MTAB-10902 outcome evaluation was completed.,E-R2-CONTRACT;E-R2-DATA-TABLE,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,E-MTAB-10902 remains unconvertible and its outcome was not read.,false,false,false,false,false,false
CE-U-13,U-R2-013,false,CAUSAL_REGION_CONTEXT_MECHANISM,UNSUPPORTED,false,BENCHMARK_PLUS_TRANSFER_AND_GENERATION_LIMITS_PAPER,Region or biological context is the causal mechanism of terminal prediction failure.,E-R2-ERROR-DOMAIN-SHIFT-AUDIT,REFUTATION_OR_MISSING_REQUIRED_DEPENDENCY,Region summaries are post hoc and confounded; within-assay context-specific terminal error metrics are unavailable.,false,false,false,false,false,false
